MIMAT0000065,MIMAT0000067,MIMAT0000101,MIMAT0000231,MIMAT0000425,MIMAT0000681,MIMAT0000691,MIMAT0000703,MIMAT0000762,MIMAT0002174,MIMAT0002835,MIMAT0004597,MIMAT0015072,target
5.58789588,1.329743831,1.329743831,1.329743831,1.329743831,1.329743831,5.485067521,3.288279689,4.162549475,6.681580371,1.329743831,5.488667588,1.329743831,1
-1.049256306,3.433699185,5.293361756,6.012204123,6.873712179,-1.049256306,6.897382755,7.374446783,-1.049256306,6.440281264,-1.049256306,-1.049256306,-1.049256306,1
5.381133161,-1.553815011,6.90923996,-1.553815011,1.796265633,-1.553815011,-1.553815011,-1.553815011,3.824086285,5.384588354,5.03206744,4.418067048,6.397175626,1
-0.396599333,-0.396599333,1.221321299,5.368079178,5.510950984,-0.396599333,5.332856457,5.671629989,-0.396599333,-0.396599333,8.474748468,-0.396599333,-0.396599333,1
5.774074489,5.462609338,5.426743668,6.416848865,2.53050413,4.961375274,4.30052321,3.535228283,5.01224655,6.459049737,-0.005099724,4.535642701,1.74717574,1
-0.127379948,5.673997579,5.900622004,7.528399831,5.924063721,5.804144271,2.640711194,3.84422706,-0.127379948,5.838275296,1.939039947,2.957580618,4.287792572,1
3.61390963,-0.13556296,-0.13556296,-0.13556296,5.309595445,3.021868059,3.316482201,5.248864918,1.972069678,5.654417281,-0.13556296,-0.13556296,5.677239303,1
3.514013047,3.19215762,4.614631441,3.143034793,3.674303492,-1.132108991,2.130557932,-1.132108991,2.83822334,5.459643047,-1.132108991,4.679509102,4.88385917,1
3.637970356,2.125419374,5.29909343,4.715785876,4.631069318,-0.942597863,0.789801597,0.279155509,4.491780165,5.463684368,-0.942597863,3.889144119,4.406074353,1
5.212877113,5.85723056,3.175645506,4.294335774,4.823446783,4.883262855,4.576685722,3.162588699,5.545936198,5.733200448,-0.815607541,3.809536483,5.428319241,1
-0.818091775,2.698324555,-0.818091775,3.837141064,4.110423126,4.689614451,3.71547666,3.330919721,3.39395468,5.569300781,1.732816686,3.872674032,5.075851175,1
4.790794933,0.296053569,0.296053569,6.255376289,0.313733226,3.350592988,5.033201112,0.296053569,0.296053569,3.816668164,0.296053569,0.296053569,5.989637539,1
-1.590228216,1.037249443,-1.590228216,3.920049737,-1.590228216,-1.590228216,-1.590228216,-1.590228216,-1.590228216,4.532912902,-1.590228216,-1.590228216,3.243566447,1
4.070798268,0.250168098,0.250168098,4.478285533,0.628933096,0.250168098,3.711348034,0.250168098,3.715626538,5.860213991,0.250168098,3.767175177,5.462322557,1
4.590442497,4.310642783,4.050691986,2.315198871,0.593265576,0.593265576,4.864887836,0.593265576,4.602379955,6.293056814,0.593265576,4.200798494,5.221649676,0
5.630426077,5.821116198,0.25002516,0.25002516,4.731543262,5.016152951,4.346068815,0.25002516,0.25002516,5.928009524,0.25002516,4.849731151,5.99727138,0
